"id","review_text","department","date"
1,"The new course material is absolutely fantastic and very easy to follow!","Computer Science","2023-11-01"
2,"I am confused by the recent grading system, it doesn't make any sense.","Mathematics","2023-11-02"
3,"The library facilities are okay, but the wifi is sometimes slow.","General","2023-11-03"
4,"Excellent support from the teaching staff during project work.","Engineering","2023-11-04"
5,"Terrible experience with the online portal, it crashed during my exam.","IT Support","2023-11-05"
6,"I love the campus environment, very peaceful and great for studying.","General","2023-11-06"
7,"The food in the cafeteria is too expensive and lacks variety.","Facilities","2023-11-07"
8,"Professor Smith's lectures are incredibly inspiring. Highly recommend!","Physics","2023-11-08"
9,"The assignment deadlines are unreasonable and stressful.","Management","2023-11-09"
10,"Standard procedure followed without any issues.","Administration","2023-11-10"
